;datum;jahr;pfr;mitwirkung;art;begleitung;quelle;nr;komponist_vn;komponist;werk;stück;anmerkungen
;03.02.2002;2002;;;;;EC;65;Johann S.;Bach;h-moll Messe;Dona nobis pacem;
;29.03.2002;2002;R. Binkert;;GD;H. Brunner;;;Joseph G.;Rheinberger;;;
;29.03.2002;2002;;;;;;;Josef;Gabriel;;Passionsgesang o46;
;16.06.2002;2002;P. Feldmann;;GD;H. Brunner;;;Felix;Mendelssohn;;Lerchengesang;
;16.06.2002;2002;;;;;KGB;249;;;;Erd und Himmel sollen singen;
;16.06.2002;2002;;;;;;;Georg Ph.;Telemann;;Ich will den Herrn loben;
;16.06.2002;2002;;;;;;;;;;;
;16.06.2002;2002;;;;;KGB;27;;;;Höchster deine Gütigkeit;
;16.06.2002;2002;;;;;KGB;529;;;;Laudato si;
;10.07.2002;2002;;;Nauengut;;;;;;;;
;15.09.2002;2002;;;GD Bettag mit kath Kirchenchor in Tann;;;;Felix;Mendelssohn;;Kyrie eleison Doppelchor;
;15.09.2002;2002;;;;;;;;;;Heilig Doppelchor;
;15.09.2002;2002;;;;a capella;;;;;;100. Psalm Jauchzet dem Herren;
;15.09.2002;2002;;;;;EC;20;Anton;Bruckner;Motette;Locus iste;
;22.09.2002;2002;;;GD Erntedank mit kath Kirchenchor;;;;Felix;Mendelssohn;;Kyrie eleison Doppelchor;
;22.09.2002;2002;;;;;;;;;;Heilig Doppelchor;
;22.09.2002;2002;;;;a capella;;;;;;100. Psalm Jauchzet dem Herren;
;22.09.2002;2002;;;;;EC;20;Anton;Bruckner;Motette;Locus iste;
;07.12.2012;2012;;;Adventskonzert;;;;Ottorino;Respighi;;Laude per la Nativitä del Signore;
;08.12.2012;2012;;;;;;;Francesco;Geminiani;;Concerto grosso g-Moll;
;08.12.2012;2012;;;;;;;Carl Ph. E.;Bach;;Magnificat Wq 215;
;24.12.2002;2002;;;Christnachtfeier;H. Brunner, 0. Mächler R. Wylemann, S. Mächler;;;Johann S.;Bach;;Ich steh an deiner Krippe hier;
;24.12.2002;2002;;;;;;;Christoph W.;Graupner;;Gelobet seist du, Jesus Christ;
;24.12.2002;2002;;;;;;;;;;Stille Nacht mit Oberstimme;
;24.12.2002;2002;;;;;;;Ottorino;Respighi;;Content;
;24.12.2002;2002;;;;;;;;;;Al mondo tanto reo;
;02.02.2003;2003;R. Binkert;;GD;H. Brunner;CH2000;;Claude;Goudimel;;Hoch sei gepriesen unser Gott;
;02.02.2003;2003;;;;;;;Arthur;Eglin;;Meine Seele erhebt den Herrn;
;02.02.2003;2003;;;;;;;Johann C.;Kühnau;;Herr nun lass in Friede;
;18.04.2003;2003;P. Feldmann;;GD;H. Brunner;;;Franz;Schubert;;In monte Olivetti;
;18.04.2003;2003;;;;;;;Felix;Mendelssohn;;Herr sei gnädig;
;18.04.2003;2003;;;;;;;Felix;Mendelssohn;;0 Herr erbarm dich über uns;
;18.04.2003;2003;;;;;;;Rudolf;Tobias;;Gott sei mir gnädig;
;05.07.2003;2003;;;Serenade & Notturno;O. Mächer H. Brunner;;;Johannes;Brahms;;Rosmarin;
;05.07.2003;2003;;;;;;;Antonin;Dvorak;;Die wilde Rose, Zuversicht;
;05.07.2003;2003;;;;;;;Robert;Schumann;;Zigeunerleben;
;05.07.2003;2003;;;;;;;Johann;Strauss;;An der schönen blauen Donau;
;05.07.2003;2003;;;;;;;;;;Abendlieder und Nachtgersänge;F. Hensel, F.Schubert, J. Brahms, J. Rheinberger, R. Schumann
;06.07.2003;2003;R. Binkert;;Feldgottesdienst OD;H. Brunner;;;;;;Programm aus Serenade;
;09.07.2003;2003;;;Nauenständli;H. Brunner;;;;;;Programm aus Serenade;
;28.09.2003;2003;P. Feldmann;E. Frischknecht;GD Erntedank;E. Jannibelli H. Brunner;;;Felix;Mendelssohn;;Verleih uns Frieden gnädiglich;
;28.09.2003;2003;;;;;;;Jacques N.;Lemmens;;Lobet den Herrn;
;07.12.2012;2012;;;Adventssingen;Chor , Streicher, Orgel;;;Georg F.;Händel;Messias Chor 15;Ehre sei Gott;
;07.12.2012;2012;;;;;;;;;Messias Chor 12;Denn es ist uns ein Kind geboren;
;07.12.2012;2012;;;;;;;Rolf;Schweizer;;Die Wurzel Jesse, Hört der Engel helle Stimmen;
;24.12.2012;2012;P. Feldmann;;Christnachtfeier;H. Brunner Instrumentalisten;;;;;;Weihnachtsteil aus dem Messias;
;31.12.2003;2003;R. Binkert;T. Venzin R. Meister;Silvester;;;;Wolfgang A.;Mozart;;V'amo di core;
;31.12.2003;2003;;;;;;;Joseph;Haydn;;Psalm 50;
;31.12.2003;2003;;;;;;;Michael;Haydn;;Domine Deus;
;01.02.2004;2004;R. Binkert;;GD;H. Brunner;;;Georg Ph.;Telemann;;Ich will den Herrn loben;
;01.02.2004;2004;;;;;;;Joseph;Haydn;;Gelobet sei der Nam des Herrn;
;01.02.2004;2004;;;;;;;Joseph;Haydn;;Psalm 50;
;01.02.2004;2004;;;;;;;Wolfgang A.;Mozart;;Litaniae:Kyrie KB: 812, 843;
;08.04.2004;2004;;;Passionskonzert;;;;Joseph G.;Rheinberger;Stabat Mater;;
;08.04.2004;2004;;;;;;;José M.;Nunes Garcia;Motetten zur Karwoche;;
;08.04.2004;2004;;;;;;;Wolfgang A.;Mozart;Motetten zur Karwoche;;
;09.04.2004;2004;R. Binkert;;GD;H. Brunner;;;Joseph G.;Rheinberger;;Stabat Mater;
;09.04.2004;2004;;;;;;;José M.;Nunes Garcia;;Judas Mercator pessimus;
;27.06.2004;2004;P. Feldmann;;GD;H. Brunner;;;Michael;Haydn;;Domine Deus;
;27.06.2004;2004;;;;;;;Georg Ph.;Telemann;;Ich will den Herrn loben;
;27.06.2004;2004;;;;;;;Felix;Mendelssohn;;Wer nur den lieben Gott lässt walten;
;27.06.2004;2004;;;;;;;Johann S.;Bach;;Psallite eo nostro in laetitia;
;27.06.2004;2004;;;;;;;Max;Bruch;;Gebet;
;11.09.2004;2004;;;Nauengut;;EC;;;;;Domine Deus, Es tagt, der Sonne Morgenstrahl, Ich will den Herrn loben, Gloria sei Dir gesungen, Alles ist eitel, Verborgen ist das Ziel Heidenröslein, An hellen Tagen, Kein Feuer keine Kohle, 0 du liebs Ängeli,  Slisch mer alles ei Ding, 0 du stille Zeit, Nun ruhen alle Wälder;
